epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
103,9435.66,1.42047,0.55863,0.00254,0.89662,0.85397,0.89169,0.52082,1.57474,0.51957,0.00263,0.000239766,0.000239766,0.000239766
104,9665.18,1.39055,0.54949,0.00248,0.92043,0.82154,0.88557,0.50965,1.60002,0.54697,0.00267,0.000231071,0.000231071,0.000231071
105,9860.63,1.40553,0.55923,0.0025,0.89971,0.84615,0.89316,0.51692,1.59059,0.53143,0.00266,0.000222497,0.000222497,0.000222497
106,10060.1,1.40882,0.55196,0.00243,0.89746,0.86462,0.89462,0.52699,1.57355,0.53537,0.0026,0.000214046,0.000214046,0.000214046
107,10271,1.38787,0.55211,0.00243,0.88892,0.86184,0.89461,0.52111,1.58406,0.53572,0.00265,0.000205723,0.000205723,0.000205723
108,10465.7,1.39271,0.54272,0.00243,0.89817,0.84128,0.89022,0.52727,1.57094,0.52939,0.00263,0.000197532,0.000197532,0.000197532
109,10681,1.35166,0.53292,0.0024,0.90325,0.84,0.89255,0.53134,1.55888,0.53667,0.00254,0.000189475,0.000189475,0.000189475
110,10913.2,1.37322,0.53217,0.00241,0.89657,0.84308,0.89489,0.52725,1.54471,0.5278,0.00253,0.000181557,0.000181557,0.000181557
111,11116.7,1.36186,0.53735,0.00236,0.92614,0.81846,0.89169,0.53409,1.51891,0.5172,0.00249,0.00017378,0.00017378,0.00017378
112,11351.9,1.35452,0.53617,0.00233,0.93394,0.82655,0.89204,0.5302,1.553,0.51603,0.00257,0.000166149,0.000166149,0.000166149
113,11553.9,1.3428,0.52485,0.00233,0.93088,0.84,0.90097,0.52997,1.55032,0.51833,0.00254,0.000158667,0.000158667,0.000158667
114,11760,1.32915,0.51774,0.00242,0.93222,0.8464,0.90493,0.54203,1.51014,0.49363,0.00247,0.000151336,0.000151336,0.000151336
115,11986.1,1.34336,0.53202,0.00231,0.92986,0.8566,0.91365,0.5394,1.50237,0.50439,0.00247,0.000144161,0.000144161,0.000144161
116,12186.1,1.31191,0.50547,0.00232,0.91839,0.84615,0.90758,0.54337,1.49366,0.49589,0.00243,0.000137143,0.000137143,0.000137143
117,12404.1,1.33005,0.52585,0.00232,0.89344,0.85133,0.90593,0.54242,1.50144,0.49799,0.00246,0.000130287,0.000130287,0.000130287
118,307.295,1.27992,0.49258,0.00219,0.92336,0.85259,0.90854,0.54433,1.48967,0.50424,0.00241,0.000123596,0.000123596,0.000123596
119,536.642,1.26242,0.49017,0.0022,0.90072,0.85846,0.90605,0.54606,1.50235,0.49085,0.00244,0.000117072,0.000117072,0.000117072
120,739.733,1.25468,0.49255,0.00223,0.90583,0.8583,0.90101,0.54265,1.49256,0.49453,0.00242,0.000110718,0.000110718,0.000110718
121,938.231,1.25577,0.48907,0.00218,0.88458,0.85846,0.90596,0.54103,1.49187,0.49942,0.00242,0.000104537,0.000104537,0.000104537
122,1139.24,1.25546,0.48861,0.00213,0.90337,0.86295,0.91241,0.55046,1.47589,0.4817,0.00238,9.85311e-05,9.85311e-05,9.85311e-05
123,1356.25,1.25689,0.49745,0.00214,0.87948,0.87566,0.90749,0.54997,1.47182,0.49907,0.00237,9.2704e-05,9.2704e-05,9.2704e-05
124,1562.48,1.2172,0.46525,0.00217,0.90149,0.87292,0.90259,0.54664,1.47326,0.49032,0.00239,8.70577e-05,8.70577e-05,8.70577e-05
125,1771.62,1.23674,0.47685,0.00215,0.8941,0.85726,0.90762,0.54879,1.47947,0.49979,0.00239,8.15947e-05,8.15947e-05,8.15947e-05
126,1982.92,1.23968,0.46902,0.00212,0.88943,0.86626,0.90789,0.54909,1.47644,0.4956,0.00241,7.63174e-05,7.63174e-05,7.63174e-05
127,2187.84,1.21568,0.46216,0.00202,0.88023,0.88194,0.90512,0.55183,1.47839,0.48661,0.00242,7.12282e-05,7.12282e-05,7.12282e-05
128,2402.36,1.20864,0.46881,0.00203,0.89345,0.87721,0.90612,0.55247,1.47052,0.49165,0.00238,6.63292e-05,6.63292e-05,6.63292e-05
129,2628.74,1.19135,0.44924,0.00203,0.89502,0.88308,0.91393,0.54979,1.47152,0.49568,0.00239,6.16227e-05,6.16227e-05,6.16227e-05
130,2842.61,1.20976,0.45606,0.0021,0.89325,0.88,0.90901,0.54892,1.47367,0.48994,0.0024,5.71106e-05,5.71106e-05,5.71106e-05
131,3046.09,1.22495,0.47415,0.0021,0.9034,0.88615,0.90671,0.55695,1.45278,0.4842,0.00236,5.2795e-05,5.2795e-05,5.2795e-05
132,3280.31,1.20414,0.47521,0.00206,0.90729,0.86769,0.90556,0.55739,1.45603,0.48983,0.00234,4.86777e-05,4.86777e-05,4.86777e-05
133,3515.12,1.19891,0.47016,0.00205,0.91741,0.85231,0.90562,0.5577,1.46287,0.491,0.00237,4.47606e-05,4.47606e-05,4.47606e-05
134,3761.1,1.20805,0.47861,0.00209,0.90769,0.86769,0.91034,0.55944,1.46518,0.485,0.00237,4.10454e-05,4.10454e-05,4.10454e-05
135,324.229,1.18184,0.45397,0.00197,0.91518,0.86319,0.90722,0.55905,1.46119,0.48812,0.00235,3.75337e-05,3.75337e-05,3.75337e-05
136,536.822,1.16483,0.39672,0.00212,0.92647,0.85538,0.90204,0.5484,1.49036,0.47948,0.00239,3.4227e-05,3.4227e-05,3.4227e-05
137,752.664,1.15041,0.39908,0.00205,0.92082,0.85881,0.90158,0.54991,1.48338,0.48871,0.00238,3.11268e-05,3.11268e-05,3.11268e-05
138,971.253,1.14761,0.39739,0.00201,0.91511,0.86462,0.90083,0.54951,1.48408,0.48727,0.00238,2.82345e-05,2.82345e-05,2.82345e-05
139,1193.1,1.13036,0.38743,0.00199,0.90925,0.8632,0.90463,0.54947,1.48642,0.49311,0.00239,2.55513e-05,2.55513e-05,2.55513e-05
140,1411.51,1.13047,0.39418,0.00196,0.91529,0.86769,0.90529,0.55346,1.47781,0.48839,0.00238,2.30784e-05,2.30784e-05,2.30784e-05
141,1633.91,1.12102,0.38761,0.00197,0.90733,0.87077,0.90041,0.55202,1.47261,0.49838,0.00236,2.08169e-05,2.08169e-05,2.08169e-05
142,1864.04,1.12468,0.38497,0.002,0.89711,0.87692,0.89742,0.55036,1.47517,0.49452,0.00237,1.87678e-05,1.87678e-05,1.87678e-05
143,2089.67,1.11767,0.384,0.00199,0.90235,0.87385,0.90346,0.55528,1.46968,0.48596,0.00236,1.6932e-05,1.6932e-05,1.6932e-05
144,2311.79,1.11105,0.3786,0.00196,0.90596,0.87692,0.8954,0.557,1.46277,0.48553,0.00235,1.53102e-05,1.53102e-05,1.53102e-05
145,2542.8,1.10794,0.37891,0.00194,0.90682,0.86769,0.90403,0.55328,1.4698,0.48409,0.00237,1.39032e-05,1.39032e-05,1.39032e-05
146,2763.54,1.1044,0.38107,0.00195,0.90689,0.86911,0.90386,0.55357,1.46401,0.48678,0.00236,1.27117e-05,1.27117e-05,1.27117e-05
147,2995.63,1.10172,0.38054,0.00197,0.90835,0.86769,0.90121,0.55497,1.45898,0.48702,0.00235,1.1736e-05,1.1736e-05,1.1736e-05
148,3227.44,1.10646,0.37953,0.00197,0.91232,0.86443,0.90522,0.55588,1.45881,0.48198,0.00236,1.09768e-05,1.09768e-05,1.09768e-05
149,3463.32,1.11405,0.38321,0.00196,0.90639,0.86402,0.90204,0.55534,1.45918,0.48086,0.00236,1.04342e-05,1.04342e-05,1.04342e-05
150,3697.84,1.11529,0.38239,0.00197,0.90097,0.86776,0.90176,0.55713,1.45852,0.48269,0.00236,1.01086e-05,1.01086e-05,1.01086e-05
